DOW,Wholesale,TOA,Total Quantity,TOS,AGE,QTY,FP,FUP1000,PROFITS,Predicted,Total sold,Total profits,Qty left,Flower
6,80.0,0,0.0,892,142,0.25,30,120.0,10.0,0,0.0,0.0,0.0,Rose
6,80.0,0,0.0,983,233,0.25,30,120.0,10.0,0,0.0,0.0,0.0,Rose
6,80.0,0,0.0,1025,275,0.15,20,133.3,8.0,0,0.0,0.0,0.0,Rose
6,80.0,0,0.0,1050,300,0.075,13,173.3,7.0,0,0.0,0.0,0.0,Rose
6,80.0,0,0.0,1083,333,0.5,70,140.0,30.0,0,0.0,0.0,0.0,Rose
6,80.0,0,0.0,1125,375,0.5,50,100.0,10.0,0,0.0,0.0,0.0,Rose
6,80.0,0,0.0,1175,425,0.125,20,160.0,10.0,0,0.0,0.0,0.0,Rose
6,80.0,0,0.0,1200,450,0.25,30,120.0,10.0,0,0.0,0.0,0.0,Rose
6,80.0,0,0.0,1275,525,0.25,40,160.0,20.0,0,0.0,0.0,0.0,Rose
1,70.0,0,0.0,1400,650,0.075,14,186.7,8.75,0,0.0,0.0,0.0,Rose
1,70.0,0,0.0,1625,875,0.25,30,120.0,12.5,0,0.0,0.0,0.0,Rose
1,70.0,0,0.0,1650,900,0.075,14,186.7,8.75,0,0.0,0.0,0.0,Rose
1,70.0,0,0.0,1725,975,1.0,120,120.0,50.0,0,0.0,0.0,0.0,Rose
1,70.0,0,0.0,1733,983,0.075,14,186.7,8.75,0,0.0,0.0,0.0,Rose
1,70.0,0,0.0,1750,1000,0.125,21,168.0,12.25,0,0.0,0.0,0.0,Rose
1,70.0,0,0.0,1750,1000,0.125,21,168.0,12.25,0,0.0,0.0,0.0,Rose
1,70.0,0,0.0,1758,1008,0.125,21,168.0,12.25,0,0.0,0.0,0.0,Rose
1,70.0,0,0.0,1800,1050,0.5,60,120.0,25.0,0,0.0,0.0,0.0,Rose
1,70.0,0,0.0,1825,1075,0.125,21,168.0,12.25,0,0.0,0.0,0.0,Rose
1,70.0,0,0.0,1833,1083,0.15,20,133.3,9.5,0,0.0,0.0,0.0,Rose
1,70.0,0,0.0,1850,1100,0.25,30,120.0,12.5,0,0.0,0.0,0.0,Rose
1,70.0,0,0.0,1875,1125,0.25,30,120.0,12.5,0,0.0,0.0,0.0,Rose
1,70.0,0,0.0,1925,1175,0.5,70,140.0,35.0,0,0.0,0.0,0.0,Rose
1,70.0,0,0.0,1933,1183,0.15,20,133.3,9.5,0,0.0,0.0,0.0,Rose
1,70.0,0,0.0,1933,1183,0.125,21,168.0,12.25,0,0.0,0.0,0.0,Rose
1,70.0,0,0.0,1950,1200,0.125,21,168.0,12.25,0,0.0,0.0,0.0,Rose
1,70.0,0,0.0,2025,1275,0.125,14,112.0,5.25,0,0.0,0.0,0.0,Rose
1,70.0,0,0.0,2033,1283,1.0,120,120.0,50.0,0,0.0,0.0,0.0,Rose
1,70.0,0,0.0,2067,1317,0.5,56,112.0,21.0,0,0.0,0.0,0.0,Rose
1,70.0,0,0.0,2075,1325,0.25,35,140.0,17.5,0,0.0,0.0,0.0,Rose
1,70.0,0,0.0,2100,1350,0.25,20,80.0,2.5,0,0.0,0.0,0.0,Rose
3,80.0,0,0.0,750,0,0.125,27,216.0,17.0,0,0.0,0.0,0.0,Rose
3,80.0,0,0.0,750,0,0.125,27,216.0,17.0,0,0.0,0.0,0.0,Rose
3,80.0,0,0.0,758,8,0.25,40,160.0,20.0,0,0.0,0.0,0.0,Rose
3,80.0,0,0.0,767,17,0.075,13,173.3,7.0,0,0.0,0.0,0.0,Rose
3,80.0,0,0.0,775,25,0.5,70,140.0,30.0,0,0.0,0.0,0.0,Rose
3,80.0,0,0.0,783,33,0.125,20,160.0,10.0,0,0.0,0.0,0.0,Rose
3,80.0,0,0.0,700,-50,0.15,20,133.3,8.0,0,0.0,0.0,0.0,Rose
3,80.0,0,0.0,825,75,0.25,40,160.0,20.0,0,0.0,0.0,0.0,Rose
3,80.0,0,0.0,833,83,0.5,80,160.0,40.0,0,0.0,0.0,0.0,Rose
3,80.0,0,0.0,850,100,0.125,27,216.0,17.0,0,0.0,0.0,0.0,Rose
3,80.0,0,0.0,850,100,0.05,7,140.0,3.0,0,0.0,0.0,0.0,Rose
3,80.0,0,0.0,900,150,0.075,13,173.3,7.0,0,0.0,0.0,0.0,Rose
3,80.0,0,0.0,925,175,0.25,40,160.0,20.0,0,0.0,0.0,0.0,Rose
3,80.0,0,0.0,933,183,0.25,30,120.0,10.0,0,0.0,0.0,0.0,Rose
3,80.0,0,0.0,975,225,0.125,20,160.0,10.0,0,0.0,0.0,0.0,Rose
3,80.0,0,0.0,1025,275,0.15,20,133.3,8.0,0,0.0,0.0,0.0,Rose
3,80.0,0,0.0,1050,300,0.125,20,160.0,10.0,0,0.0,0.0,0.0,Rose
3,80.0,0,0.0,1100,350,0.25,40,160.0,20.0,0,0.0,0.0,0.0,Rose
3,80.0,0,0.0,1158,408,0.5,70,140.0,30.0,0,0.0,0.0,0.0,Rose
3,80.0,0,0.0,1167,417,0.15,20,133.3,8.0,0,0.0,0.0,0.0,Rose
3,80.0,0,0.0,1183,433,1.0,130,130.0,50.0,0,0.0,0.0,0.0,Rose
3,80.0,0,0.0,1217,467,0.5,70,140.0,30.0,0,0.0,0.0,0.0,Rose
3,80.0,0,0.0,1217,467,0.5,80,160.0,40.0,0,0.0,0.0,0.0,Rose
3,80.0,0,0.0,1250,500,0.075,13,173.3,7.0,0,0.0,0.0,0.0,Rose
3,80.0,0,0.0,1317,567,0.1,20,200.0,12.0,0,0.0,0.0,0.0,Rose
3,80.0,0,0.0,1317,567,0.05,7,140.0,3.0,0,0.0,0.0,0.0,Rose
3,80.0,0,0.0,1375,625,0.25,40,160.0,20.0,0,0.0,0.0,0.0,Rose
3,80.0,0,0.0,1400,650,0.5,80,160.0,40.0,0,0.0,0.0,0.0,Rose
3,80.0,0,0.0,1475,725,0.075,13,173.3,7.0,0,0.0,0.0,0.0,Rose
3,80.0,0,0.0,1500,750,0.25,30,120.0,10.0,0,0.0,0.0,0.0,Rose
3,80.0,0,0.0,1575,825,0.5,80,160.0,40.0,0,0.0,0.0,0.0,Rose
3,80.0,0,0.0,1583,833,0.125,20,160.0,10.0,0,0.0,0.0,0.0,Rose
3,80.0,0,0.0,1583,833,1.0,130,130.0,50.0,0,0.0,0.0,0.0,Rose
3,80.0,0,0.0,1650,900,0.25,40,160.0,20.0,0,0.0,0.0,0.0,Rose
3,80.0,0,0.0,1667,917,0.15,20,133.3,8.0,0,0.0,0.0,0.0,Rose
3,80.0,0,0.0,1750,1000,0.125,20,160.0,10.0,0,0.0,0.0,0.0,Rose
3,80.0,0,0.0,1825,1075,0.25,40,160.0,20.0,0,0.0,0.0,0.0,Rose
3,80.0,0,0.0,1850,1100,0.5,70,140.0,30.0,0,0.0,0.0,0.0,Rose
3,80.0,0,0.0,1858,1108,0.5,80,160.0,40.0,0,0.0,0.0,0.0,Rose
3,80.0,0,0.0,1800,1050,0.25,40,160.0,20.0,0,0.0,0.0,0.0,Rose
3,80.0,0,0.0,1900,1150,0.2,60,300.0,44.0,0,0.0,0.0,0.0,Rose
3,80.0,0,0.0,1900,1150,1.0,130,130.0,50.0,0,0.0,0.0,0.0,Rose
3,80.0,0,0.0,2050,1300,0.25,40,160.0,20.0,0,0.0,0.0,0.0,Rose
3,80.0,0,0.0,2058,1308,0.125,20,160.0,10.0,0,0.0,0.0,0.0,Rose
3,80.0,0,0.0,2067,1317,0.125,20,160.0,10.0,0,0.0,0.0,0.0,Rose
3,80.0,0,0.0,2083,1333,0.075,13,173.3,7.0,0,0.0,0.0,0.0,Rose
5,120.0,0,0.0,1050,300,1.0,200,200.0,80.0,0,0.0,0.0,0.0,Rose
5,120.0,0,0.0,1050,300,0.075,13,173.3,4.0,0,0.0,0.0,0.0,Rose
5,120.0,0,0.0,1067,317,0.5,100,200.0,40.0,0,0.0,0.0,0.0,Rose
5,120.0,0,0.0,1067,317,0.075,13,173.3,4.0,0,0.0,0.0,0.0,Rose
5,120.0,0,0.0,1075,325,0.25,50,200.0,20.0,0,0.0,0.0,0.0,Rose
5,120.0,0,0.0,1083,333,0.125,26,208.0,11.0,0,0.0,0.0,0.0,Rose
5,120.0,0,0.0,1083,333,0.05,10,200.0,4.0,0,0.0,0.0,0.0,Rose
5,120.0,0,0.0,1100,350,0.125,26,208.0,11.0,0,0.0,0.0,0.0,Rose
5,120.0,0,0.0,1117,367,0.25,50,200.0,20.0,0,0.0,0.0,0.0,Rose
5,120.0,0,0.0,1117,367,0.05,10,200.0,4.0,0,0.0,0.0,0.0,Rose
5,120.0,0,0.0,1133,383,0.125,26,208.0,11.0,0,0.0,0.0,0.0,Rose
5,120.0,0,0.0,1158,408,0.15,32,213.3,14.0,0,0.0,0.0,0.0,Rose
5,120.0,0,0.0,1167,417,0.25,50,200.0,20.0,0,0.0,0.0,0.0,Rose
